"Reason for Credit Entry","Sub Order No","Order Date","Customer State","Product Name","SKU","Size","Quantity","Supplier Listed Price (Incl. GST + Commission)","Supplier Discounted Price (Incl GST and Commision)","Packet Id"
"DELIVERED","194517565485120640_1","2025-09-02","Gujarat","Cutiepie Elegant Boys Top & Bottom Sets","448-(Boys)(Full Sleeve)Nice-White+Black","11-12 Years","1","340.0","340.0",
"DELIVERED","194518094466544640_1","2025-09-02","Haryana","Cute  Boys Top & Bottom Sets","218-(Boys)(Full Sleeve)-RUN-Maroon+Black","4-5 Years","1","210.0","204.0",
"DELIVERED","194518368756405760_1","2025-09-02","Haryana","Cute Trendy Boys Top & Bottom Sets","218-(Boys)(Full Sleeve)-RUN-Mahendi+Black","3-4 Years","1","200.0","194.0",
"DELIVERED","194518394061754048_1","2025-09-02","Andhra Pradesh","Cute Elegant Girls Top & Bottom Sets","20-(Girls)(Full Sleeve)Mini Girl-White+Black","10-11 Years","1","310.0","310.0",
"DELIVERED","194518801282268288_1","2025-09-02","Assam","Tinkle Elegant Boys Top & Bottom Sets","10-(Boys)(Full sleeve)Tom&Jerry-Yellow+Black","9-10 Years","1","280.0","280.0",
"DELIVERED","194518853038931712_1","2025-09-02","West Bengal","Cutiepie Elegant Boys Top & Bottom Sets","448-(Boys)(Full Sleeve)Nice-White+Black","4-5 Years","1","270.0","270.0",
"DELIVERED","194520138467971648_1","2025-09-03","Andhra Pradesh","Cutiepie Elegant Boys Top & Bottom Sets","448-(Boys)(Full Sleeve)Nice-White+Black","9-10 Years","1","320.0","320.0",
"DELIVERED","194522154175598272_1","2025-09-03","Assam","Princess Comfy Boys Top & Bottom Sets","124- Square -White","13-14 Years","1","325.0","325.0",
"DELIVERED","194523303028396608_1","2025-09-03","West Bengal","Agile Elegant Boys Top & Bottom Sets","218-(Boys)(Full Sleeve)-RUN-Yellow+Black","13-14 Years","1","300.0","300.0",
"DELIVERED","194530289777671936_1","2025-09-03","Maharashtra","Cutiepie Elegant Girls Top & Bottom Sets","(Girls)(Joggeres)Butterfly-White+DarkPink","9-10 Years","1","300.0","300.0",
"CANCELLED","194533783049895680_1","2025-09-03","Chhattisgarh","Cutiepie Elegant Boys Top & Bottom Sets","448-(Boys)(Full Sleeve)Nice-White+Black","3-4 Years","1","260.0","260.0",
"RTO_COMPLETE","194537474905636608_1","2025-09-03","Jharkhand","Cutiepie Elegant Boys Top & Bottom Sets","448-(Boys)(Full Sleeve)Nice-White+Black","1-2 Years","1","240.0","240.0",
"LOST","194538713899046400_1","2025-09-03","Goa","Cutiepie Elegant Boys Top & Bottom Sets","448-(Boys)(Full Sleeve)Nice-White+Black","4-5 Years","1","270.0","270.0",
"RTO_COMPLETE","194540277778847232_1","2025-09-03","Maharashtra","Princess Elegant Girls Top & Bottom Sets","29-(Girls)(Half Sleeve)(Joggeres)Ribbon Ladies-White+Mahendi","5-6 Years","1","250.0","250.0",
"LOST","194542029748016640_1","2025-09-03","Goa","Cutiepie Elegant Boys Top & Bottom Sets","448-(Boys)(Full Sleeve)Nice-White+Black","6-7 Years","1","290.0","290.0",
"DELIVERED","194551893388988097_1","2025-09-03","Telangana","Cutiepie Elegant Boys Top & Bottom Sets","448-(Boys)(Full Sleeve)Nice-White+Black","7-8 Years","1","300.0","300.0",
"DELIVERED","194552245421117120_1","2025-09-03","Uttar Pradesh","Cutiepie Elegant Boys Top & Bottom Sets","448-(Boys)(Full Sleeve)Nice-White+Black","3-4 Years","1","260.0","260.0",
"DELIVERED","194556811281731264_1","2025-09-03","West Bengal","Tinkle  Boys Top & Bottom Sets","15-(Boys)(FS)Super Mario-Black+Brown","12-13 Years","1","350.0","340.0",
"DELIVERED","194559089966290432_1","2025-09-03","West Bengal","Cutiepie Elegant Boys Top & Bottom Sets","448-(Boys)(Full Sleeve)Nice-White+Black","13-14 Years","1","360.0","360.0",
"DELIVERED","194569179294371520_1","2025-09-03","Karnataka","Modern Elegant Girls Top & Bottom Sets","29-(Girls)(Half Sleeve)(Joggeres)Ribbon Ladies-White+Pich","11-12 Years","1","310.0","310.0",
"RTO_COMPLETE","194610770485477120_1","2025-09-03","Telangana","Cutiepie Elegant Boys Top & Bottom Sets","448-(Boys)(Full Sleeve)Nice-White+Black","13-14 Years","2","360.0","360.0",
"RTO_COMPLETE","194617211313225472_1","2025-09-03","Delhi","Princess Elegant Boys Top & Bottom Sets","448-(Boys)(FS)Nice-White+Black","1-2 Years","1","250.0","250.0",
"DELIVERED","194629109556743872_1","2025-09-03","Madhya Pradesh","Flawsome Elegant Girls Top & Bottom Sets","322-(Girls)(Joggeres)Butterfly Pink-White+Peach","11-12 Years","1","310.0","310.0",
"DELIVERED","194631732422807232_1","2025-09-03","Jharkhand","Cutiepie Elegant Boys Top & Bottom Sets","448-(Boys)(Full Sleeve)Nice-White+Black","3-4 Years","1","260.0","260.0",
"DELIVERED","194632474998052352_1","2025-09-03","Kerala","Cutiepie Elegant Boys Top & Bottom Sets","448-(Boys)(Full Sleeve)Nice-White+Black","2-3 Years","1","250.0","250.0",
"DELIVERED","194634286068956928_1","2025-09-03","Kerala","Cutiepie Elegant Boys Top & Bottom Sets","448-(Boys)(Full Sleeve)Nice-White+Black","7-8 Years","1","300.0","300.0",
"DELIVERED","194635439905412608_1","2025-09-03","Karnataka","Cutiepie Elegant Boys Top & Bottom Sets","448-(Boys)(Full Sleeve)Nice-White+Black","3-4 Years","1","260.0","260.0",
"DELIVERED","194636165575021120_1","2025-09-03","Maharashtra","Agile Elegant Boys Top & Bottom Sets","218-(Boys)(Full Sleeve)-RUN-Yellow+Black","3-4 Years","1","200.0","200.0",
"DELIVERED","194636197980213824_1","2025-09-03","Jharkhand","Agile Elegant Boys Top & Bottom Sets","218-(Boys)(Full Sleeve)-RUN-Yellow+Black","3-4 Years","1","200.0","200.0",
"RTO_COMPLETE","194637498361609345_1","2025-09-03","Gujarat","Cutiepie Elegant Boys Top & Bottom Sets","448-(Boys)(Full Sleeve)Nice-White+Black","6-7 Years","1","290.0","290.0",
"RTO_COMPLETE","194637939904377856_1","2025-09-03","Rajasthan","Modern Elegant Girls Top & Bottom Sets","158-(Girls)(half Sleeve) Flower Butterfly -Black+Baby Pink","12-13 Years","1","350.0","350.0",
"DELIVERED","194638287327235776_1","2025-09-03","Gujarat","Princess Elegant Boys Top & Bottom Sets","448-(Boys)(FS)Nice-White+Black","1-2 Years","1","250.0","250.0",
"DELIVERED","194638921669578432_1","2025-09-03","Tamil Nadu","Cutiepie Stylish Girls Top & Bottom Sets","101-Good Girl-Pista","4-5 Years","1","200.0","200.0",
"DELIVERED","194640019083432512_1","2025-09-03","Andhra Pradesh","Cutiepie Elegant Boys Top & Bottom Sets","448-(Boys)(Full Sleeve)Nice-White+Black","4-5 Years","1","270.0","270.0",
"DELIVERED","194641902400935424_1","2025-09-03","Manipur","Agile Elegant Girls Top & Bottom Sets","195-(Girls)(Half Sleeve)(Joggeres)-Big Hair BasketBall Girl-White+Orange","14-15 Years","1","360.0","360.0",
"DELIVERED","194642466145865410_1","2025-09-03","Telangana","Agile Elegant Boys Top & Bottom Sets","218-(Boys)(Full Sleeve)-RUN-Yellow+Black","7-8 Years","1","240.0","233.0",
"RTO_COMPLETE","194642749327872576_1","2025-09-03","Punjab","Tinkle Elegant Kids Girls Trackpants","PLAZA PINK AND BLACK","11-12 Years","1","290.0","290.0",
"CANCELLED","194643974006273024_1","2025-09-03","Andhra Pradesh","Cutiepie Elegant Boys Top & Bottom Sets","448-(Boys)(Full Sleeve)Nice-White+Black","13-14 Years","1","360.0","360.0",
"DELIVERED","194645308101131392_1","2025-09-03","Uttar Pradesh","Cutiepie Elegant Boys Top & Bottom Sets","448-(Boys)(Full Sleeve)Nice-White+Black","4-5 Years","1","270.0","270.0",
"DELIVERED","194645612247158464_1","2025-09-03","Andhrapradesh","Cutiepie Elegant Boys Top & Bottom Sets","448-(Boys)(Full Sleeve)Nice-White+Black","3-4 Years","1","260.0","260.0",
"RTO_COMPLETE","194647341411630208_1","2025-09-03","Gujarat","Pretty Elegant Girls Top & Bottom Sets","13-(Girls)(Half Sleeve)Too Cute-Pink+Grey","13-14 Years","1","300.0","300.0",
"DELIVERED","194647538450595584_1","2025-09-03","Bihar","Flawsome Elegant Girls Top & Bottom Sets","05-(Girls)(Joggeres)Ladies Hair-White+Pink","13-14 Years","1","360.0","350.0",
"RTO_COMPLETE","194648018103860352_1","2025-09-03","Uttar Pradesh","Cutiepie Elegant Boys Top & Bottom Sets","448-(Boys)(Full Sleeve)Nice-White+Black","1-2 Years","1","240.0","240.0",
"CANCELLED","194649514367284224_1","2025-09-03","Andhra Pradesh","Cutiepie Elegant Boys Top & Bottom Sets","448-(Boys)(Full Sleeve)Nice-White+Black","13-14 Years","1","360.0","360.0",
"DELIVERED","194650394474871936_1","2025-09-03","Uttar Pradesh","Cutiepie Elegant Boys Top & Bottom Sets","448-(Boys)(Full Sleeve)Nice-White+Black","6-7 Years","1","290.0","290.0",
"DELIVERED","194651799456814592_1","2025-09-03","Uttarakhand","Cutiepie Elegant Boys Top & Bottom Sets","448-(Boys)(Full Sleeve)Nice-White+Black","1-2 Years","1","240.0","233.0",
"DELIVERED","194653538092089088_1","2025-09-03","West Bengal","Cutiepie Elegant Boys Top & Bottom Sets","448-(Boys)(Full Sleeve)Nice-White+Black","8-9 Years","1","310.0","310.0",
"DELIVERED","194654435754151616_1","2025-09-03","Gujarat","Cutiepie Elegant Boys Top & Bottom Sets","448-(Boys)(Full Sleeve)Nice-White+Black","4-5 Years","1","270.0","270.0",
"DELIVERED","194654505290405376_1","2025-09-03","Punjab","Cutiepie Elegant Boys Top & Bottom Sets","448-(Boys)(Full Sleeve)Nice-White+Black","6-12 Months","1","230.0","230.0",
"DELIVERED","194654663567504384_1","2025-09-03","Kerala","Agile Elegant Boys Top & Bottom Sets","218-(Boys)(Full Sleeve)-RUN-Yellow+Black","3-4 Years","1","200.0","200.0",
"RTO_COMPLETE","194654669854766080_1","2025-09-03","Odisha","Cutiepie Elegant Boys Top & Bottom Sets","448-(Boys)(Full Sleeve)Nice-White+Black","7-8 Years","1","300.0","300.0",
"RTO_COMPLETE","194655127729313280_1","2025-09-03","Uttar Pradesh","Pretty Elegant Girls Top & Bottom Sets","50-(Girls)ABCD-Half Sleeve+Full Lenghi","3-4 Years","1","200.0","200.0",
"CANCELLED","194655248182180992_1","2025-09-03","Assam","Flawsome Elegant Girls Top & Bottom Sets","322-(Girls)(Joggeres)Butterfly Pink-White+Peach","14-15 Years","1","340.0","340.0",
"DELIVERED","194655893073196032_1","2025-09-03","Chhattisgarh","Cutiepie Elegant Boys Top & Bottom Sets","448-(Boys)(Full Sleeve)Nice-White+Black","4-5 Years","1","270.0","270.0",
"DELIVERED","194656884396948608_1","2025-09-03","Assam","Cutiepie Elegant Boys Top & Bottom Sets","448-(Boys)(Full Sleeve)Nice-White+Black","2-3 Years","1","250.0","243.0",
